Year,State,Number,Population
2014,New South Wales,261340,
2014,Victoria,222641,
2014,Queensland,180847,
2014,South Australia,67625,
2014,Western Australia,163828,
2014,Tasmania,16144,
2014,Northern Territory,14654,
2014,Australian Capital Territory,14705,
2015,New South Wales,250129,
2015,Victoria,242213,
2015,Queensland,179658,
2015,South Australia,69714,
2015,Western Australia,198730,
2015,Tasmania,16619,
2015,Northern Territory,14542,
2015,Australian Capital Territory,17368,
2016,New South Wales,244727,
2016,Victoria,276339,
2016,Queensland,197052,
2016,South Australia,74598,
2016,Western Australia,176132,
2016,Tasmania,14680,
2016,Northern Territory,15526,
2016,Australian Capital Territory,15637,
2017,New South Wales,217000,
2017,Victoria,234841,
2017,Queensland,218335,
2017,South Australia,67890,
2017,Western Australia,163310,
2017,Tasmania,16387,
2017,Northern Territory,16351,
2017,Australian Capital Territory,16865,
2018,New South Wales,254980,
2018,Victoria,219673,
2018,Queensland,227042,
2018,South Australia,74931,
2018,Western Australia,163278,
2018,Tasmania,14650,
2018,Northern Territory,17795,
2018,Australian Capital Territory,14929,
2019,New South Wales,232717,
2019,Victoria,246205,
2019,Queensland,245623,
2019,South Australia,85942,
2019,Western Australia,166378,
2019,Tasmania,16535,
2019,Northern Territory,16957,
2019,Australian Capital Territory,15906,
2020,New South Wales,177543,
2020,Victoria,200906,
2020,Queensland,205447,
2020,South Australia,66097,
2020,Western Australia,110854,
2020,Tasmania,12980,
2020,Northern Territory,14034,
2020,Australian Capital Territory,12672,
2021,New South Wales,177094,
2021,Victoria,189807,
2021,Queensland,216840,
2021,South Australia,69806,
2021,Western Australia,123387,
2021,Tasmania,13543,
2021,Northern Territory,16824,
2021,Australian Capital Territory,13549,
2022,New South Wales,193083,
2022,Victoria,195219,
2022,Queensland,252510,
2022,South Australia,70170,
2022,Western Australia,128655,
2022,Tasmania,15217,
2022,Northern Territory,32539,
2022,Australian Capital Territory,12801,
2023,New South Wales,2420695,
2023,Victoria,233800,
2023,Queensland,283997,
2023,South Australia,79427,
2023,Western Australia,134965,
2023,Tasmania,19496,
2023,Northern Territory,14790,
2023,Australian Capital Territory,12207,